Company Name,Product Name,Smallest Quantity,Price 1,Largest Quantity,Price 2,Rating,Total Reviews,Written Reviews,Product Formulation,Skin Type,Main Ingredients,Product Type,Established On,Paraben ,Mineral Oil ,Vegan,Fragrance,Category,Ingredient List
The Face Shop,Chia Seed Hydro Cream,25,1087,50,2599,4.5,1159,332,Gel,All,"Chia_Seed,Vitamin-B12",Moisturizer,2003,No,No,No,Yes,Hydration,"Water/Eau, Glycerin, Cyclohexasiloxane, Propanediol, Polyglyceryl-4 Caprate, 1,2-Hexanediol, Butylene Glycol, Hydrogenated Olive Oil Stearyl Esters, Hydrogenated Polydecene, Cetyl Palmitate, Panthenol, Caprylic/Capric Oil, Jojoba Esters, Hydrogenated Olive Oil Unsaponifiables, Maltodextrin, Sodium Citrate, Citric Acid, Cyanocobalamin, Dipentaerythrityl Hexacaprylate/Hexacaprate, Isohexadecane, Eclipta Prostrata Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil, Tocopherol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 60, Trisodium Edta, Tromethamine, perfume/Fragrance"
The Face Shop,Rice & Ceramide Moisturizing Emulsion,70,599,150,990,4.4,9907,1235,Milky,Dry,"Rice,Ceramide",Emulsion,2003,,,No,Yes,Moisturization,"Water, Glycerin, Alcohol, Dipropylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Polydecene, Betaine, Cyclomethicone, Cetyl Ethylhexanoate, Polyglyceryl-3 Methylglucose Distearate, DI-C12-13 Alkyl Malate, Oryza Sativa (Rice) Extract, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Butyrospermum Parkii (Shea Butter), Dimethicone, Lecithin, Caprylic/Capric Glycerides, Dimethicone/Vinyl Dimethicone Crosspolymer, Oryza Sativa (Rice) Bran Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, C12-14 Pareth-12, Sodium Hyaluronate, Ceramide 3, Polyglyceryl-10 Oleate, Hydrogenated Lecithin, Glycosphingolipids, Carbomer, Potassium Hydroxide, Fragrance, Methylparaben, Disodium EDTA, Alpha-Isomethyl Ionone, Benzyl Salicylate, Butylphenyl Methylpropional, CItronellol, Coumarin, Geraniol, Hexyl CInnamal, Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Linalool"
The Face Shop,White Seed Brightening Face Lotion,50,779,145,2190,4.4,724,137,Milky,All,"White_Seed,Niacinamide",Moisturizer,2003,,,No,No,Brightning,"Water/Eau, Cyclopentasiloxane, Dipropylene Glycol, Glycerin, Pentaerythrityl Tetraethylhexanoate, 1,2 Hexanediol, Sorbitol, Dimethicone, Panthenol, Squalane, Xanthan Gum, Beta-Glucan, Hydrogenated Olive Oil Unsaponifiables, Eucalyptus Globulus Leaf Extract, Mentha Rotundifolia Leaf Extract, Rosa Canina Fruit Extract, Corchorus Olitorius Leaf Extract, Monarda Didyma Leaf Extract, Salvia Officinalis(Sage)Leaf Extract, Silica, Methyl Glucose Sesquistearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium Edta, Tromethamine"
The Face Shop,Pomegranate & Collagen Cream,50,1249,100,2350,4.4,1910,223,Creamy,Dry,"Pomegranate,Collagen",Moisturizer,2003,,,No,Yes,Rejuvenating,"Water/Eau,Butyrospermum Parkii (Shea) Butter,Propanediol, Pentaerythrityl,A Tetraethylhexanoate,Glycerin, Diisostearyl Malate,Dimethicone,Limnanthes Alba (Meadowfoam) Seed Oil,1,2-Hexanediol,Peg-100 Stearate,Glyceryl Stearate,Stearyl Alcohol,Punica Granatum Fruit Extract,Panthenol,Caprylic/Capric Glycerides,Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether,Sorbitan Sesquioleate,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Squalane,Polysorbate 60,Adenosine,Hydrolyzed Collagen,Illicium Verum (Anise) Fruit Extract,Caprylic/Capric Triglyceride,Potassium Hydroxide,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Disodium Edta,Caprylyl Glycol,Iron Oxides (Ci 77491),perfume/Fragrance"
The Face Shop,Rice & Ceramide Moisturizing Cream,50,1040,,,4.4,4212,509,Creamy,Dry,"Rice,Ceramide",Moisturizer,2003,,,No,Yes,Moisturization,"Water/Eau, Glycerin, Dipropylene Glycol, Cyclopentasiloxane, Caprylic/Capric Triglyceride, Behenyl Alcohol, Betaine, Neopentyl Glycol Diheptanoate, Tri-C14-15 Alkyl Citrate, Stearic Acid, 1-2-Hexanediol, Cetearyl Olivate, Oryza Sativa (Rice) Extract, Octyldodecyl Lactate, Diisostearyl Malate, Oryza Sativa (Rice) Bran Oil, Ceramide NP, Glycosphingolipids, Butyrospermum Parkii (Shea) Butter, Sorbitan Olivate, PEG-100 Stearate, Glyceryl Stearate, Isoceteth-25, Isoceteth-10, Dimethicone/Vinyl Dimethicone Crosspolymer, Polyacrylate-13, Dimethicone, Cyclomethicone, Polyisobutene, Polysorbate 20, Sodium Hyaluronate, Polyglyceryl-10 Oleate, Lecithin, Trisodium EDTA, Caprylic/Capric Glycerides, Ethylhexylglycerin, Phenoxyethanol, Parfum/-Fragrance"
The Face Shop,Pomegranate & Collagen Emulsion,140,1960,,,4.4,577,76,Milky,All,"Pomegranate,Collagen",Emulsion,2003,,,No,Yes,Brightning,"Water/Eau, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Triethylhexanoin, Pentaerythrityl Tetraethylhexanoate, Butylene Glycol, Cetyl Ethylhexanoate, Punica Granatum Fruit Extract, Betaine, Hydrolyzed Collagen, Peg-100 Stearate, Glyceryl Stearate, Cyclopentasiloxane, Dimethicone, Cetearyl Alcohol, Caprylic/Capric Glycerides, C14-22 Alcohols, Carbomer, Dimethiconol, Potassium Hydroxide, Xanthan Gum, C12-20 Alkyl Glucoside, Adenosine, Sodium Hyaluronate, Disodium EDTA, Iron Oxides (CI 77491), Ethylhexylglycerin, perfume/Fragrance"
The Face Shop,Dr. Belmeur Clean Mild Lotion,145,1485,,,4.5,130,26,Milky,Oily,"Squalane,Vitamin-B5",Moisturizer,2003,No,No,No,Yes,Hydration,"Water/Eau, Cyclopentasiloxane, Dipropylene Glycol, Glycerin, Pentaerythrityl Tetraethylhexanoate, 1,2 Hexanediol, Sorbitol, Dimethicone, Panthenol, Squalane, Xanthan Gum, Beta-Glucan, Hydrogenated Olive Oil Unsaponifiables, Eucalyptus Globulus Leaf Extract, Mentha Rotundifolia Leaf Extract, Rosa Canina Fruit Extract, Corchorus Olitorius Leaf Extract, Monarda Didyma Leaf Extract, Salvia Officinalis(Sage)Leaf Extract, Silica, Methyl Glucose Sesquistearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium Edta, Tromethamine"
The Face Shop,Tea Tree Pore Cream,50,2799,,,4.4,32,6,Creamy,Oily,"Tea_Tree,AHA,BHA,PHA,Hyaluronic_Acid,Vitamin-B5",Moisturizer,2003,No,No,Yes,No,Hydration,"Water, Hydrogenated Polyisobutene, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Glycerin, Hydrogenated Polydecene, Niacinamide, Panthenol, Trehalose, Serine, Polymethylsilsesquioxane, Acrylates, C10-30 Alkyl Acrylate Crosspolymer, Hydroxyethyl Acrylate, Sodium Acryloyldimethyl Taurate Copolymer, Tromethamine, Anthemis Nobilis Flower Oil, Sorbitan Isostearate, Vetiveria Zizanoides Root Oil, Arginine, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate, Glyceryl Acrylate, Acrylic Acid Copolymer, Citric Acid, Beta-Glucan, Carnitine, Dextrin, Theobroma Cacao (Cocoa) Seed Extract, Gluconolactone, Salicylic Acid, Centella Asiatica Leaf Extract, Melaleuca Alternifolia (Tea Tree) Flower, Leaf, Stem Extract"
The Face Shop,The Therapy Vegan Moisture Blending Gel Cream,60,3799,,,4.6,9,0,Gel Cream,Sensitive,Niacinamide,Moisturizer,2003,No,No,Yes,No,Moisturization,"Water, Eau, Glycerin, Butylene Glycol, Propanediol, Betaine, 1,2-Hexanediol, Panthenol, Leontopodium Alpinum Flower, Leaf Extract, Buddleja Davidii Extract, Thymus Vulgaris (Thyme) Extract, Hydrangea Macrophylla Leaf Extract, Olea Europaea (Olive) Fruit Oil, Calendula Officinalis Flower Extract,Cymbopogon Martini Oil, Laurus Nobilis Leaf Extract, Santalum Album (Sandalwood) Oil, Carbomer,Polyglyceryl-10 Stearate,Tromethamine, Polyglyceryl-10 Oleate, Sodium Gluconate, Vetiveria Zizanoides Root Oil,Sodium Polyacrylate, Glyceryl Acrylate, Acrylic Acid Copolymer,Adenosine, Rosmarinus Officinalis (Rosemary) Leaf Oil, Persea Gratissima (Avocado) Oil, Caprylic, Capric, Triglyceride, Malachite Extract"
The Face Shop,The Therapy Vegan Moisture Blending Cream,60,3799,,,4,3,0,Creamy,Dry,Ceramide,Moisturizer,2003,No,No,Yes,No,Moisturization,"Water, Eau, Dipropylene Glycol, Glycerin, Squalane, Cetyl Ethylhexanoate, Coco-Caprylate, Caprate, Caprylic, Capric Triglyceride, Theobroma Cacao (Cocoa) Seed Butter, Isostearyl Isostearate, Polyglyceryl-3 Methylglucose Distearate, Cetearyl Alcohol, 1,2-Hexanediol, Panthenol, Glyceryl Stearate Se, Glyceryl Stearate, Hydrogenated Lecithin, Stearic Acid, Octyldodecanol, Polyacrylate Crosspolymer-6, Ammonium Acryloyldimethyltaurate, Vp Copolymer, Vetiveria Zizanoides Root Oil, Diethylhexyl Syringylidenemalonate, Adenosine, Ceramide Np, Trisodium Edta, Rosmarinus Officinalis (Rosemary) Leaf Oil, Persea Gratissima (Avocado) Oil, T-Butyl Alcohol, Beta-Glucan, Sucrose Stearate, Tocopherol, Cholesterol, Olea Europaea (Olive) Fruit Oil, Buddleja Davidii Extract, Thymus Vulgaris (Thyme) Extract, Linoleic Acid, Palmitic Acid, Calendula Officinalis Flower Extract, Laurus Nobilis Leaf Extract, Leontopodium Alpinum Flower, Leaf Extract, Cymbopogon Martini Oil, Santalum Album (Sandalwood) Oil, Elaeis Guineensis (Palm) Oil, Eclipta Prostrata Extract, Melia Azadirachta Leaf Extract, Moringa Oleifera Seed Oil"
